WorkerId,AnonId
A3PA6MCCLEYB33,anon-0
A1YBUA89N9CV2N,anon-1
A10G57EYF3HK46,anon-2
A1R5TGEFPN0VP3,anon-3
A18JN79AHDB8PD,anon-4
A3T90ZWPBV0MCI,anon-5
A3O8LNKBF84JY7,anon-6
A3CDCAA7ZBXQRP,anon-7
A2BZJAUH0XPO54,anon-8
A1EAEZ7VIHKQ2,anon-9
AYBYMDBEBK5Z,anon-10
A2V2I8HXL9EHQ1,anon-11
A1A3TGZ7DKJWRW,anon-12
A10E5MI9D5XEUQ,anon-13
ASRI4XGCPE999,anon-14
A3HSRME7HLNLY2,anon-15
A2R1JVEVFXAGUI,anon-16
A1JKSAQ8UNCE7B,anon-17
A1SDL30ZO5HEAE,anon-18
A2DAZ0CJ3VKS80,anon-19
A2G5ZASH1MGQTV,anon-20
A3GTIIFSMHAKRZ,anon-21
AH3ER3EJXHRO2,anon-22
A3ICWVGCEDRXS0,anon-23
A1FWTO9NV9WN4L,anon-24
A3JVVAT09S6HMK,anon-25
A36F6AF6V1T67,anon-26
A1JMB9Z7EYHU1O,anon-27
AK3H5QRAROFGP,anon-28
ASUDOK294UEZK,anon-29
